scenario,signal,auc_mean,auc_std,spearman_mean,det_lag_median,miss_rate_mean,regime_gap_mean
ar_noise_switch,ewacf_max,0.973,0.007,0.818,3.0,0.0,0.462
ar_noise_switch,ewacf_mean,0.965,0.004,0.804,21.5,0.086,0.347
ar_noise_switch,ks_shift,0.327,0.062,-0.299,30.0,0.429,-0.065
ar_noise_switch,mi_knn,0.865,0.018,0.632,29.0,0.0,0.392
arch_switch,ewacf_max,,,,52.0,0.4,0.01
arch_switch,ewacf_mean,,,,27.5,0.171,0.005
arch_switch,ks_shift,,,,40.5,0.514,-0.002
arch_switch,mi_knn,,,,26.0,0.629,0.028
mean_shift,ewacf_max,,,,0.0,0.429,-0.012
mean_shift,ewacf_mean,,,,4.5,0.657,-0.01
mean_shift,ks_shift,,,,62.5,0.057,0.04
mean_shift,mi_knn,,,,20.5,0.029,-0.025
nonlinear_map_switch,ewacf_max,0.488,0.013,-0.021,59.5,0.6,-0.004
nonlinear_map_switch,ewacf_mean,0.493,0.013,-0.013,55.0,0.457,0.001
nonlinear_map_switch,ks_shift,0.543,0.065,0.075,37.25,0.6,0.004
nonlinear_map_switch,mi_knn,0.873,0.025,0.645,45.0,0.0,0.328
off_grid_lag_switch,ewacf_max,0.725,0.042,0.388,48.0,0.229,0.103
off_grid_lag_switch,ewacf_mean,0.764,0.035,0.456,36.5,0.343,0.097
off_grid_lag_switch,ks_shift,0.356,0.056,-0.249,44.0,0.314,-0.029
off_grid_lag_switch,mi_knn,0.787,0.057,0.496,66.5,0.229,0.16
periodic_noise_switch,ewacf_max,0.988,0.002,0.843,9.0,0.0,0.43
periodic_noise_switch,ewacf_mean,0.989,0.002,0.846,7.0,0.0,0.362
periodic_noise_switch,ks_shift,0.571,0.043,0.124,65.0,0.314,0.008
periodic_noise_switch,mi_knn,0.871,0.017,0.642,39.0,0.0,0.304
phi_switch,ewacf_max,0.969,0.008,0.812,8.0,0.0,0.427
phi_switch,ewacf_mean,0.957,0.007,0.79,25.0,0.114,0.325
phi_switch,ks_shift,0.342,0.068,-0.273,30.0,0.429,-0.06
phi_switch,mi_knn,0.865,0.02,0.631,33.0,0.0,0.377
seasonal_ar_switch,ewacf_max,0.977,0.004,0.825,3.0,0.0,0.532
seasonal_ar_switch,ewacf_mean,0.966,0.009,0.806,19.5,0.086,0.242
seasonal_ar_switch,ks_shift,0.368,0.03,-0.228,66.0,0.514,-0.025
seasonal_ar_switch,mi_knn,0.844,0.035,0.595,55.0,0.143,0.236
var_shift,ewacf_max,,,,8.5,0.457,-0.008
var_shift,ewacf_mean,,,,34.0,0.743,-0.007
var_shift,ks_shift,,,,50.0,0.514,0.015
var_shift,mi_knn,,,,27.5,0.371,-0.023
