dataset,architecture,window_size,filter,train_mse,train_std,val_mse,val_std
aqua_alta,lstm_vanilla_windowed,1,sma,0.0007744215096853633,5.810579206670349e-05,0.0011582373368338216,9.42837980496216e-05
aqua_alta,lstm_vanilla_windowed,2,sma,0.000741370748559673,7.447475248113959e-05,0.0013795240988974864,0.00010993707777398327
aqua_alta,lstm_vanilla_windowed,4,sma,0.0006715176235318503,3.0483536445845738e-05,0.0010990692721591219,5.800873346123636e-05
aqua_alta,lstm_vanilla_windowed,8,sma,0.0006587660003161661,4.913634567707664e-05,0.0010268276854912984,2.8391657239992952e-05
aqua_alta,lstm_vanilla_windowed,16,sma,0.0007476364939655469,4.0721430647903255e-05,0.0019056401337840807,0.0001830693754538633
aqua_alta,lstm_vanilla_windowed,32,sma,0.0007636088737702667,7.302284755398814e-05,0.002103384000765653,0.0001139126033083522
aqua_alta,lstm_vanilla_windowed,64,sma,0.0009589702613895057,0.00026964904800603714,0.021291491679848798,0.002656037677916925
aqua_alta,lstm_vanilla_windowed,128,sma,0.001491433333895414,0.00036443888020341143,0.039496121294808846,0.0033851853533966854
aqua_alta,lstm_vanilla_stateless_windowed,1,sma,0.0042104050220249855,9.590524968804457e-06,0.005680593359284103,3.0065413340528154e-05
aqua_alta,lstm_vanilla_stateless_windowed,2,sma,0.0012454657726072994,1.5412341747943564e-05,0.001456240168772638,5.5011783297337e-05
aqua_alta,lstm_vanilla_stateless_windowed,4,sma,0.0009046886546089759,3.337759174249756e-05,0.0011099025199655444,6.930697275222169e-05
aqua_alta,lstm_vanilla_stateless_windowed,8,sma,0.0008511591368984441,4.021185171228922e-05,0.0010305946605512872,6.557213195456493e-05
aqua_alta,lstm_vanilla_stateless_windowed,16,sma,0.0007617944857999017,2.5053908107763732e-05,0.001112656999612227,8.03826274822047e-05
aqua_alta,lstm_vanilla_stateless_windowed,32,sma,0.0007438120520341343,3.922167278469897e-05,0.0011727767414413393,9.703840304200083e-05
aqua_alta,lstm_vanilla_stateless_windowed,64,sma,0.0007008646781485408,2.249736663270702e-05,0.0011326354637276382,8.088945653559232e-05
aqua_alta,lstm_vanilla_stateless_windowed,128,sma,0.0007205903951651084,3.569265571507375e-05,0.0012056311534252018,0.00014345457381430648
lbl_tcp_3,lstm_vanilla_windowed,1,sma,0.24437512524291433,0.011428329292933293,0.30649807341051555,0.009195807928762312
lbl_tcp_3,lstm_vanilla_windowed,2,sma,0.21859573574959285,0.015880003789353538,0.3295613626885558,0.006015409354434707
lbl_tcp_3,lstm_vanilla_windowed,4,sma,0.15774141578151707,0.012535838607892986,0.38165258951415915,0.006375352799729403
lbl_tcp_3,lstm_vanilla_windowed,8,sma,0.09535367442080263,0.008517774593242624,0.461817075578329,0.012247195778272359
