dataset,architecture,window_size,best_val_loss
aqua_alta,lstm_vanilla_stateless_windowed,1,0.005646149627864361
aqua_alta,lstm_vanilla_stateless_windowed,2,0.0013997636269778013
aqua_alta,lstm_vanilla_stateless_windowed,4,0.0011296032462269068
aqua_alta,lstm_vanilla_stateless_windowed,8,0.0009537814185023308
aqua_alta,lstm_vanilla_stateless_windowed,16,0.0010131543967872858
aqua_alta,lstm_vanilla_stateless_windowed,32,0.0012171894777566195
aqua_alta,lstm_vanilla_stateless_windowed,64,0.0010256560053676367
aqua_alta,lstm_vanilla_stateless_windowed,128,0.0011216396233066916
aqua_alta,lstm_vanilla_windowed,1,0.0008530460434872576
aqua_alta,lstm_vanilla_windowed,2,0.0008887834397213328
aqua_alta,lstm_vanilla_windowed,4,0.0009502597730790363
aqua_alta,lstm_vanilla_windowed,8,0.000900653993448941
aqua_alta,lstm_vanilla_windowed,16,0.0010699803272849436
aqua_alta,lstm_vanilla_windowed,32,0.0010885023068908134
aqua_alta,lstm_vanilla_windowed,64,0.006003167856783595
aqua_alta,lstm_vanilla_windowed,128,0.04290251046954159
aqua_alta,lstm_vanilla_windowed_no_recurrence,1,0.005511620683686837
aqua_alta,lstm_vanilla_windowed_no_recurrence,2,0.0015469737460072814
aqua_alta,lstm_vanilla_windowed_no_recurrence,4,0.0012145716120245422
aqua_alta,lstm_vanilla_windowed_no_recurrence,8,0.0017359284101985395
aqua_alta,lstm_vanilla_windowed_no_recurrence,16,0.0020506471384914658
aqua_alta,lstm_vanilla_windowed_no_recurrence,32,0.0031982475146674835
aqua_alta,lstm_vanilla_windowed_no_recurrence,64,0.02112486443282086
aqua_alta,lstm_vanilla_windowed_no_recurrence,128,0.1907146510004284
ethernet_traffic,lstm_vanilla_stateless_windowed,1,0.5784268379211426
ethernet_traffic,lstm_vanilla_stateless_windowed,2,0.5542314648628235
ethernet_traffic,lstm_vanilla_stateless_windowed,4,0.5413945913314819
ethernet_traffic,lstm_vanilla_stateless_windowed,8,0.49788960814476013
ethernet_traffic,lstm_vanilla_stateless_windowed,16,0.4905719459056854
ethernet_traffic,lstm_vanilla_stateless_windowed,32,0.4197644591331482
ethernet_traffic,lstm_vanilla_stateless_windowed,64,0.3748110234737396
ethernet_traffic,lstm_vanilla_stateless_windowed,128,0.32552388310432434
ethernet_traffic,lstm_vanilla_windowed,1,0.46719138702387003
ethernet_traffic,lstm_vanilla_windowed,2,0.4722267445114544
ethernet_traffic,lstm_vanilla_windowed,4,0.4591050679051636
ethernet_traffic,lstm_vanilla_windowed,8,0.4818340540435669
ethernet_traffic,lstm_vanilla_windowed,16,0.4854362674108515
ethernet_traffic,lstm_vanilla_windowed,32,0.4119268643184447
ethernet_traffic,lstm_vanilla_windowed,64,0.35319222443139375
ethernet_traffic,lstm_vanilla_windowed,128,0.33441333883142066
ethernet_traffic,lstm_vanilla_windowed_no_recurrence,1,0.5770847943171435
